playername,elo
Peco,1000.0977816908143
Sorrow,1000.058187051632
Moxokx,1000.0525946100537
YJJ,1000.0513893048487
Later,1000.048955795189
Roamer,1000.0452143371933
Quest,1000.0120440929646
FX Baldan,1000.0116046632103
Jacob,999.9996495664766
Johntheman,999.9990890190381
Puppe,999.9528680806975
Gadget,999.9502040903684
Saint Ghoul,999.9321138861575
V1per,999.9192626771529
Trick,999.9061539061943
Lightpulse,999.9002512307381
Erixen,999.875399905235
Fastlegged,999.7795804916997
Julbu,999.7773332005013
Yusui,999.7729417836613
Elijah,999.7358030362367
Marcus,999.7336339063172
Kryze,999.7049866251756
Bartholdy,999.6932066492858
Prage,999.6058771699178
KingClueles,999.5945409701958
pui,999.5900813172208
Fendras,999.5802976527027
Envy Carry,999.5782215838558
Zapdo,999.568433693871
SageWabe,999.5603493076318
Marcv1,999.5566750238166
seaz,999.5546729572063
Eradan,999.5346110132716
Sephis,999.5220067177898
Pungyeon,999.4484965079527
Decay,999.444292829785
Xioh,999.4296175049302
Toaster,999.3885210678482
grieve,999.3110092523168
Rhino,999.2717439652237
Sayna,999.2682828541598
EvanRL,999.2500999972623
Luuukz,999.1801350429533
Healer,999.1732666437377
Instinct,999.1727603562767
Yan,999.1599519254212
6zc,999.089037312862
Soboro,999.0510345224445
Ahj,999.02722788398
Picknn,998.9950636679927
Buchi,998.9887004316805
Music,998.8943141913677
Coten,998.8222711335437
Ricky,998.7889729852413
Murilão,998.7728238749918
Relife,998.7424532943546
Maggie,998.6924955509875
Peter,998.6804273352271
Baldan,998.6534689028497
